pin1	pin2	pin3	pin4	pin5
9.92584	5.28695	0.716547	6.69472	5.65831
10.2064	5.44212	0.725582	6.81228	5.68759
10.485	5.60184	0.734642	6.94188	5.71667
10.7615	5.76579	0.743723	7.08434	5.74555
11.0359	5.93367	0.752824	7.24024	5.77423
11.3082	6.10514	0.761942	7.40983	5.80272
11.5785	6.27988	0.771075	7.59293	5.83101
11.8466	6.45756	0.780222	7.78893	5.8591
12.1127	6.63788	0.789379	7.99685	5.887
12.3768	6.82051	0.798546	8.21542	5.91471
12.6387	7.00519	0.807719	8.44318	5.94222
12.8986	7.19162	0.816898	8.67864	5.96954
13.1565	7.37956	0.82608	8.92037	5.99667
13.4123	7.56877	0.835263	9.16708	6.0236
13.6661	7.75902	0.844446	9.41762	6.05035
13.918	7.95011	0.853628	9.67103	6.0769
14.1678	8.14185	0.862806	9.92648	6.10327
14.4156	8.33407	0.871979	10.1833	6.12945
14.6615	8.52661	0.881146	10.4409	6.15545
14.9054	8.71933	0.890305	10.6989	6.18126
15.1475	8.91209	0.899455	10.9568	6.20688
15.3875	9.10477	0.908595	11.2143	6.23233
15.6257	9.29728	0.917724	11.4713	6.25759
15.862	9.4895	0.92684	11.7274	6.28267
16.0965	9.68135	0.935943	11.9826	6.30757
16.329	9.87275	0.945032	12.2366	6.3323
16.5598	10.0636	0.954106	12.4895	6.35686
16.7887	10.2539	0.963164	12.7411	6.38126
17.0158	10.4435	0.972205	12.9913	6.40549
17.241	10.6324	0.98123	13.24	6.42958
17.4645	10.8206	0.990236	13.4873	6.45353
17.6863	11.008	0.999225	13.7331	6.47736
17.9063	11.1945	1.0082	13.9774	6.50108
18.1245	11.3801	1.01715	14.2201	6.52472
18.341	11.5648	1.02608	14.4611	6.54829
18.5558	11.7486	1.03499	14.7006	6.57183
18.769	11.9314	1.04389	14.9385	6.59536
18.9804	12.1132	1.05276	15.1747	6.61892
19.1901	12.294	1.06162	15.4093	6.64255
19.3982	12.4738	1.07046	15.6422	6.6663
19.6047	12.6526	1.07928	15.8736	6.69022
19.8095	12.8302	1.08808	16.1032	6.71437
20.0127	13.0068	1.09687	16.3312	6.73881
20.2143	13.1823	1.10563	16.5576	6.76361
20.4143	13.3567	1.11438	16.7823	6.78886
20.6127	13.53	1.12312	17.0054	6.81465
20.8096	13.7022	1.13184	17.2269	6.84107
21.0049	13.8732	1.14055	17.4468	6.86823
21.1987	14.0432	1.14924	17.665	6.89625
21.3909	14.212	1.15792	17.8816	6.92527
21.5816	14.3796	1.16659	18.0966	6.95543
21.7708	14.5462	1.17526	18.31	6.98688
21.9585	14.7116	1.18391	18.5219	7.0198
22.1448	14.8758	1.19256	18.7321	7.05439
22.3295	15.039	1.2012	18.9408	7.09086
22.5128	15.2009	1.20984	19.1479	7.12943
22.6947	15.3618	1.21848	19.3534	7.17036
22.8751	15.5215	1.22711	19.5574	7.21393
23.0541	15.6801	1.23575	19.7599	7.26044
23.2317	15.8375	1.24439	19.9608	7.31023
23.4079	15.9939	1.25304	20.1602	7.36365
