pin1	pin2	pin3	pin4	pin5
43.7696	35.7552	8.38413	37.6136	41.4961
43.7769	35.7654	8.38878	37.607	41.5052
43.7841	35.7756	8.39339	37.6003	41.5141
43.7913	35.7856	8.39798	37.5935	41.523
43.7984	35.7956	8.40253	37.5866	41.5318
43.8054	35.8055	8.40706	37.5797	41.5405
43.8124	35.8153	8.41155	37.5726	41.5491
43.8193	35.8251	8.41601	37.5654	41.5576
43.8262	35.8347	8.42044	37.5582	41.566
43.833	35.8444	8.42484	37.5508	41.5744
43.8397	35.8539	8.42921	37.5433	41.5827
43.8464	35.8634	8.43355	37.5358	41.5909
43.853	35.8728	8.43786	37.5281	41.599
43.8595	35.8821	8.44214	37.5204	41.607
43.866	35.8914	8.44639	37.5125	41.615
43.8725	35.9006	8.45062	37.5045	41.6229
43.8789	35.9097	8.45481	37.4965	41.6307
43.8852	35.9187	8.45898	37.4883	41.6384
43.8915	35.9277	8.46312	37.4801	41.6461
43.8977	35.9367	8.46723	37.4717	41.6536
43.9039	35.9455	8.47131	37.4632	41.6612
43.91	35.9543	8.47537	37.4546	41.6686
43.916	35.9631	8.4794	37.446	41.6759
43.9221	35.9717	8.48341	37.4372	41.6832
43.928	35.9803	8.48738	37.4283	41.6905
43.9339	35.9889	8.49133	37.4193	41.6976
43.9398	35.9973	8.49526	37.4102	41.7047
43.9456	36.0058	8.49916	37.401	41.7117
43.9513	36.0141	8.50303	37.3917	41.7187
43.957	36.0224	8.50688	37.3823	41.7256
43.9627	36.0306	8.51071	37.3728	41.7324
43.9683	36.0388	8.5145	37.3632	41.7391
43.9738	36.0469	8.51828	37.3535	41.7458
43.9794	36.055	8.52203	37.3437	41.7524
43.9848	36.0629	8.52575	37.3338	41.759
43.9902	36.0709	8.52946	37.3237	41.7655
43.9956	36.0788	8.53313	37.3136	41.7719
44.0009	36.0866	8.53679	37.3034	41.7783
44.0062	36.0943	8.54042	37.293	41.7846
44.0114	36.102	8.54403	37.2826	41.7909
44.0166	36.1097	8.54761	37.272	41.7971
44.0217	36.1172	8.55118	37.2614	41.8033
44.0268	36.1248	8.55472	37.2506	41.8093
44.0319	36.1322	8.55823	37.2398	41.8154
44.0369	36.1397	8.56173	37.2288	41.8213
44.0418	36.147	8.5652	37.2178	41.8273
44.0468	36.1543	8.56865	37.2067	41.8331
44.0516	36.1616	8.57208	37.1954	41.8389
44.0565	36.1688	8.57549	37.1841	41.8447
44.0613	36.1759	8.57888	37.1726	41.8504
44.066	36.183	8.58225	37.1611	41.856
44.0707	36.1901	8.58559	37.1495	41.8616
44.0754	36.197	8.58892	37.1378	41.8672
44.08	36.204	8.59222	37.1259	41.8727
44.0846	36.2109	8.5955	37.114	41.8781
44.0891	36.2177	8.59877	37.102	41.8835
44.0936	36.2245	8.60201	37.09	41.8888
44.0981	36.2312	8.60523	37.0778	41.8941
44.1025	36.2379	8.60844	37.0655	41.8994
44.1069	36.2445	8.61162	37.0532	41.9046
44.1113	36.2511	8.61479	37.0408	41.9097
44.1156	36.2576	8.61793	37.0282	41.9148
44.1199	36.2641	8.62106	37.0156	41.9199
44.1241	36.2706	8.62417	37.003	41.9249
44.1283	36.277	8.62726	36.9902	41.9299
44.1325	36.2833	8.63033	36.9774	41.9348
44.1366	36.2896	8.63338	36.9645	41.9397
44.1407	36.2958	8.63641	36.9515	41.9445
44.1448	36.302	8.63943	36.9385	41.9493
44.1488	36.3082	8.64242	36.9254	41.954
44.1528	36.3143	8.6454	36.9122	41.9587
44.1568	36.3204	8.64836	36.8989	41.9634
44.1607	36.3264	8.65131	36.8856	41.968
44.1646	36.3324	8.65424	36.8722	41.9726
44.1684	36.3383	8.65714	36.8588	41.9771
44.1723	36.3442	8.66004	36.8453	41.9816
44.1761	36.35	8.66291	36.8317	41.986
44.1798	36.3558	8.66577	36.8181	41.9905
44.1835	36.3616	8.66861	36.8044	41.9948
44.1872	36.3673	8.67144	36.7907	41.9992
44.1909	36.3729	8.67425	36.7769	42.0034
44.1945	36.3786	8.67704	36.7631	42.0077
44.1981	36.3841	8.67981	36.7492	42.0119
44.2017	36.3897	8.68257	36.7353	42.0161
44.2052	36.3952	8.68532	36.7213	42.0202
44.2087	36.4006	8.68804	36.7073	42.0243
44.2122	36.4061	8.69076	36.6933	42.0284
44.2156	36.4114	8.69345	36.6792	42.0324
44.219	36.4168	8.69613	36.6651	42.0364
44.2224	36.4221	8.6988	36.6509	42.0404
44.2258	36.4273	8.70145	36.6367	42.0443
44.2291	36.4325	8.70408	36.6225	42.0482
44.2324	36.4377	8.7067	36.6083	42.0521
44.2357	36.4429	8.70931	36.594	42.0559
44.2389	36.448	8.7119	36.5797	42.0597
44.2421	36.453	8.71448	36.5654	42.0634
44.2453	36.4581	8.71704	36.5511	42.0671
44.2485	36.463	8.71958	36.5367	42.0708
44.2516	36.468	8.72212	36.5224	42.0745
44.2547	36.4729	8.72463	36.508	42.0781
44.2578	36.4778	8.72714	36.4936	42.0817
44.2608	36.4826	8.72963	36.4792	42.0853
44.2639	36.4874	8.7321	36.4648	42.0888
44.2669	36.4922	8.73457	36.4503	42.0923
44.2698	36.4969	8.73701	36.4359	42.0957
44.2728	36.5016	8.73945	36.4215	42.0992
44.2757	36.5063	8.74187	36.407	42.1026
44.2786	36.5109	8.74428	36.3926	42.1059
44.2815	36.5155	8.74667	36.3781	42.1093
44.2843	36.52	8.74905	36.3637	42.1126
44.2871	36.5246	8.75142	36.3493	42.1159
44.2899	36.5291	8.75378	36.3348	42.1191
44.2927	36.5335	8.75612	36.3204	42.1224
44.2954	36.5379	8.75845	36.306	42.1256
44.2982		8.76076	36.2916	42.1287
44.3009		8.76307	36.2772	42.1319
44.3036		8.76536	36.2628	42.135
44.3062		8.76764	36.2485	42.1381
44.3088		8.7699	36.2341	42.1411
44.3114		8.77216	36.2198	42.1442
44.314		8.7744	36.2055	42.1472
44.3166		8.77663	36.1912	42.1502
44.3191		8.77885	36.1769	42.1531
44.3217		8.78105	36.1627	42.1561
44.3242		8.78325	36.1484	42.159
44.3266		8.78543	36.1342	42.1618
44.3291		8.7876	36.1201	42.1647
44.3315		8.78976	36.1059	42.1675
44.3339		8.79191	36.0918	42.1703
44.3363		8.79404	36.0777	42.1731
44.3387		8.79617	36.0636	42.1759
44.3411		8.79828	36.0496	42.1786
44.3434		8.80038	36.0356	42.1813
44.3457		8.80247	36.0216	42.184
44.348		8.80455	36.0077	42.1866
44.3503		8.80662	35.9938	42.1893
44.3525		8.80868	35.9799	42.1919
44.3548		8.81073	35.9661	42.1945
44.357		8.81276	35.9523	42.197
44.3592		8.81479	35.9386	42.1996
44.3613		8.8168	35.9249	42.2021
44.3635		8.81881	35.9112	42.2046
44.3656		8.8208	35.8976	42.2071
44.3678		8.82279	35.884	42.2096
44.3699		8.82476	35.8704	42.212
44.3719		8.82672	35.8569	42.2144
44.374		8.82868	35.8435	42.2168
44.376		8.83062	35.8301	42.2192
44.3781		8.83255	35.8167	42.2215
44.3801		8.83448	35.8034	42.2239
44.3821		8.83639	35.7901	42.2262
44.3841		8.83829	35.7769	42.2285
44.386		8.84019	35.7637	42.2307
44.388		8.84207	35.7506	42.233
44.3899		8.84395	35.7375	42.2352
44.3918		8.84581	35.7244	42.2374
44.3937		8.84767	35.7115	42.2396
44.3956		8.84951	35.6985	42.2418
44.3974		8.85135	35.6856	42.244
44.3993			35.6728	42.2461
44.4011			35.66	42.2482
44.4029			35.6473	42.2503
44.4047			35.6346	42.2524
44.4065			35.6219	42.2545
44.4083			35.6094	42.2565
44.41			35.5968	42.2586
44.4118			35.5844	42.2606
44.4135			35.5719	42.2626
44.4152			35.5596	42.2645
44.4169			35.5472	42.2665
44.4186			35.535	42.2684
44.4202			35.5228	42.2704
44.4219			35.5106	42.2723
44.4235			35.4985	42.2742
44.4251			35.4865	42.276
44.4267			35.4745	42.2779
44.4283			35.4625	42.2797
44.4299			35.4507	42.2816
44.4315			35.4388	42.2834
44.433			35.4271	42.2852
44.4345				42.287
44.4361				42.2887
44.4376				42.2905
44.4391				42.2922
44.4406				42.2939
44.442				42.2956
44.4435				42.2973
44.4449				42.299
44.4464				42.3007
44.4478				42.3023
44.4492				42.3039
44.4506				42.3056
44.452				42.3072
44.4534				42.3088
44.4547				42.3103
44.4561				42.3119
44.4574				42.3134
44.4587				42.315
44.46				42.3165
44.4613				42.318
44.4626				42.3195
44.4639				42.321
44.4652				42.3225
44.4664				42.3239
44.4677				42.3254
44.4689				42.3268
44.4702				42.3282
44.4714				42.3296
44.4726				42.331
44.4738				42.3324
44.475				42.3338
44.4761				42.3351
44.4773				42.3365
44.4784				42.3378
44.4796				42.3391
44.4807				42.3404
44.4818				42.3417
44.483				42.343
44.4841				42.3443
44.4851				42.3456
44.4862				42.3468
44.4873				42.3481
44.4884				42.3493
44.4894				42.3505
44.4905				42.3517
44.4915				42.3529
44.4925				42.3541
44.4936				42.3553
44.4946				42.3565
44.4956				42.3576
44.4966				42.3588
44.4976				42.3599
44.4985				42.3611
44.4995				42.3622
44.5005				42.3633
44.5014				42.3644
44.5023				42.3655
44.5033				42.3666
44.5042				42.3676
44.5051				42.3687
44.506				42.3698
44.5069				42.3708
44.5078				42.3718
44.5087				42.3729
44.5096				42.3739
44.5105				42.3749
44.5113				42.3759
44.5122				42.3769
44.513				42.3778
44.5139				42.3788
44.5147				42.3798
44.5155				42.3807
44.5163				42.3817
44.5171				42.3826
44.518				42.3836
44.5187				42.3845
44.5195				42.3854
44.5203				42.3863
44.5211				42.3872
44.5219				42.3881
44.5226				42.389
44.5234				42.3898
44.5241				42.3907
44.5249				42.3916
44.5256				42.3924
44.5263				42.3932
44.5271				42.3941
44.5278				42.3949
44.5285				42.3957
44.5292				42.3965
44.5299				42.3973
44.5306				42.3981
44.5313				42.3989
44.5319				42.3997
44.5326				42.4005
44.5333				42.4013
44.5339				42.402
44.5346				42.4028
44.5352				42.4035
44.5359				42.4043
44.5365				42.405
44.5371				42.4057
44.5378				42.4065
44.5384				42.4072
44.539				42.4079
44.5396				42.4086
44.5402				42.4093
44.5408				42.41
44.5414				42.4107
44.542				42.4113
44.5426				42.412
44.5431				42.4127
44.5437				42.4133
44.5443				42.414
44.5448				42.4146
44.5454				42.4153
44.5459				42.4159
44.5465				42.4165
44.547				42.4172
44.5476				42.4178
44.5481				42.4184
44.5486				42.419
44.5491				42.4196
44.5497				42.4202
44.5502				42.4208
44.5507				42.4214
44.5512				42.4219
44.5517				42.4225
44.5522				42.4231
44.5526				42.4237
44.5531				42.4242
44.5536				42.4248
44.5541				42.4253
44.5546				42.4259
44.555				42.4264
44.5555				42.4269
44.5559				42.4274
44.5564				42.428
44.5568				42.4285
44.5573				42.429
44.5577				42.4295
44.5582				42.43
44.5586				42.4305
44.559				42.431
44.5594				42.4315
44.5599				42.432
44.5603				42.4324
44.5607				42.4329
44.5611				
44.5615				
44.5619				
44.5623				
44.5627				
44.5631				
44.5634				
44.5638				
44.5642				
44.5646				
44.5649				
44.5653				
44.5657				
44.566				
44.5664				
44.5667				
44.5671				
44.5674				
44.5678				
44.5681				
44.5684				
44.5688				
44.5691				
44.5694				
44.5697				
44.5701				
44.5704				
44.5707				
44.571				
44.5713				
44.5716				
44.5719				
44.5722				
44.5725				
44.5728				
44.5731				
44.5733				
44.5736				
44.5739				
44.5742				
44.5744				
44.5747				
44.575				
44.5752				
44.5755				
44.5757				
44.576				
44.5762				
44.5765				
44.5767				
44.577				
44.5772				
44.5775				
44.5777				
44.5779				
44.5782				
44.5784				
44.5786				
44.5788				
44.579				
44.5793				
44.5795				
44.5797				
44.5799				
44.5801				
44.5803				
44.5805				
44.5807				
44.5809				
44.5811				
44.5813				
44.5815				
44.5817				
44.5818				
44.582				
44.5822				
44.5824				
44.5825				
44.5827				
44.5829				
44.5831				
44.5832				
44.5834				
44.5835				
44.5837				
44.5839				
44.584				
44.5842				
44.5843				
44.5845				
44.5846				
44.5848				
44.5849				
44.585				
44.5852				
44.5853				
44.5854				
44.5856				
44.5857				
44.5858				
44.586				
44.5861				
44.5862				
44.5863				
44.5864				
44.5866				
44.5867				
44.5868				
44.5869				
44.587				
44.5871				
44.5872				
44.5873				
44.5874				
44.5875				
44.5876				
44.5877				
44.5878				
44.5879				
44.588				
44.5881				
44.5882				
44.5882				
44.5883				
44.5884				
44.5885				
44.5886				
44.5886				
44.5887				
44.5888				
44.5889				
44.5889				
44.589				
44.5891				
44.5891				
44.5892				
44.5893				
44.5893				
44.5894				
44.5894				
44.5895				
44.5895				
44.5896				
44.5897				
44.5897				
44.5897				
44.5898				
44.5898				
44.5899				
44.5899				
44.59				
44.59				
44.59				
44.5901				
44.5901				
44.5901				
44.5902				
44.5902				
44.5902				
44.5903				
44.5903				
44.5903				
44.5903				
44.5904				
44.5904				
44.5904				
44.5904				
44.5904				
44.5905				
44.5905				
44.5905				
44.5905				
44.5905				
44.5905				
44.5905				
44.5905				
44.5905				
44.5905				
44.5905				
44.5905				
44.5905				
44.5905				
44.5905				
44.5905				
44.5905				
44.5905				
44.5905				
44.5905				
44.5905				
44.5905				
44.5905				
44.5905				
44.5904				
44.5904				
44.5904				
44.5904				
44.5904				
44.5903				
44.5903				
44.5903				
44.5903				
44.5903				
44.5902				
44.5902				
44.5902				
44.5901				
44.5901				
44.5901				
44.59				
44.59				
44.59				
44.5899				
44.5899				
44.5899				
44.5898				
44.5898				
44.5898				
44.5897				
44.5897				
44.5896				
44.5896				
44.5895				
44.5895				
44.5894				
44.5894				
44.5893				
44.5893				
44.5892				
44.5892				
44.5891				
44.5891				
44.589				
44.589				
44.5889				
44.5888				
44.5888				
44.5887				
44.5887				
44.5886				
44.5885				
44.5885				
44.5884				
44.5883				
44.5883				
44.5882				
44.5881				
44.5881				
44.588				
44.5879				
44.5879				
44.5878				
44.5877				
44.5876				
44.5876				
44.5875				
44.5874				
44.5873				
44.5872				
44.5872				
44.5871				
44.587				
44.5869				
44.5868				
44.5867				
44.5867				
44.5866				
44.5865				
44.5864				
44.5863				
44.5862				
44.5861				
44.586				
44.586				
44.5859				
44.5858				
44.5857				
44.5856				
44.5855				
44.5854				
44.5853				
44.5852				
44.5851				
44.585				
44.5849				
44.5848				
44.5847				
44.5846				
44.5845				
44.5844				
44.5843				
44.5842				
44.5841				
44.584				
44.5839				
44.5837				
44.5836				
44.5835				
44.5834				
44.5833				
44.5832				
44.5831				
44.583				
44.5829				
44.5827				
44.5826				
44.5825				
44.5824				
44.5823				
44.5822				
44.582				
44.5819				
44.5818				
44.5817				
44.5816				
44.5814				
44.5813				
44.5812				
44.5811				
44.581				
44.5808				
44.5807				
44.5806				
44.5805				
44.5803				
44.5802				
44.5801				
44.5799				
44.5798				
44.5797				
44.5795				
44.5794				
44.5793				
44.5792				
44.579				
44.5789				
44.5788				
44.5786				
44.5785				
44.5783				
44.5782				
44.5781				
44.5779				
44.5778				
44.5777				
44.5775				
44.5774				
44.5772				
44.5771				
44.577				
44.5768				
44.5767				
44.5765				
44.5764				
44.5762				
44.5761				
44.5759				
44.5758				
44.5757				
44.5755				
44.5754				
44.5752				
44.5751				
44.5749				
44.5748				
44.5746				
44.5745				
44.5743				
44.5742				
44.574				
44.5739				
44.5737				
44.5736				
44.5734				
44.5732				
44.5731				
44.5729				
44.5728				
44.5726				
44.5725				
44.5723				
44.5721				
44.572				
44.5718				
44.5717				
44.5715				
44.5714				
44.5712				
44.571				
44.5709				
44.5707				
44.5705				
44.5704				
44.5702				
44.5701				
44.5699				
44.5697				
44.5696				
44.5694				
44.5692				
44.5691				
44.5689				
44.5687				
44.5686				
44.5684				
44.5682				
44.5681				
44.5679				
44.5677				
44.5675				
44.5674				
44.5672				
44.567				
44.5669				
44.5667				
44.5665				
44.5663				
44.5662				
44.566				
44.5658				
44.5656				
44.5655				
44.5653				
44.5651				
44.5649				
44.5648				
44.5646				
44.5644				
44.5642				
44.5641				
44.5639				
44.5637				
44.5635				
44.5633				
44.5632				
44.563				
44.5628				
44.5626				
44.5624				
44.5623				
44.5621				
44.5619				
44.5617				
44.5615				
44.5614				
44.5612				
44.561				
44.5608				
44.5606				
44.5604				
44.5602				
44.5601				
44.5599				
44.5597				
44.5595				
44.5593				
44.5591				
44.5589				
44.5588				
44.5586				
44.5584				
44.5582				
44.558				
44.5578				
44.5576				
44.5574				
44.5572				
44.557				
44.5569				
44.5567				
44.5565				
44.5563				
44.5561				
44.5559				
44.5557				
44.5555				
44.5553				
44.5551				
44.5549				
44.5547				
44.5545				
44.5544				
44.5542				
44.554				
44.5538				
44.5536				
44.5534				
44.5532				
44.553				
44.5528				
44.5526				
44.5524				
44.5522				
44.552				
44.5518				
44.5516				
44.5514				
44.5512				
44.551				
44.5508				
44.5506				
44.5504				
44.5502				
44.55				
44.5498				
44.5496				
44.5494				
44.5492				
44.549				
44.5488				
44.5486				
44.5484				
44.5482				
44.548				
44.5478				
44.5476				
44.5474				
44.5472				
44.547				
44.5468				
44.5466				
44.5464				
44.5462				
44.546				
44.5458				
44.5456				
44.5453				
44.5451				
44.5449				
44.5447				
44.5445				
44.5443				
44.5441				
44.5439				
44.5437				
44.5435				
44.5433				
44.5431				
44.5429				
44.5427				
44.5425				
44.5422				
44.542				
44.5418				
44.5416				
44.5414				
44.5412				
44.541				
44.5408				
44.5406				
44.5404				
44.5402				
44.5399				
44.5397				
44.5395				
44.5393				
44.5391				
44.5389				
44.5387				
44.5385				
44.5383				
44.538				
44.5378				
44.5376				
44.5374				
44.5372				
44.537				
44.5368				
44.5366				
44.5363				
44.5361				
44.5359				
44.5357				
44.5355				
44.5353				
44.5351				
44.5349				
44.5346				
44.5344				
44.5342				
44.534				
44.5338				

