Steps,User Time,Real Time,Growth Rate,QC position,Average Pressure,Average Sigma,Average Cell Growth,Average Vertex Velocity,Average Auxin Cytoplasm,Std Auxin Cytoplasm,Average Auxin Intercellular,Average PIN Cytoplasm,Average PIN Membrane,Average AUX1 Cytoplasm,Average Auxin Diffusion,Average Auxin Export,Average PIN1 Expression,Average PIN1 Trafficking
1,0.03,0.03,480.031,-0.490222 -14.1368 2.49e-17,0,0,0,0.0355386,0.00951553,0.028451,1.31868e-05,0.0208048,0.00126362,0.0806055,0,0.00465249,3.69383,0.43245
2,0.06,0.06,240.016,-0.490257 -14.1372 0,0,0,-9.14442e-05,0.0500425,0.0187082,0.0558679,0.000413391,0.0541961,0.0085668,0.140605,0,0.0661754,4.56319,1.34293
3,0.09,0.06,160.023,-0.490336 -14.1376 0,0,0,-0.00010608,0.0587036,0.0266673,0.0793567,0.00245255,0.0821731,0.0213125,0.185361,0,0.238016,4.77112,2.15399
4,0.12,0.06,120.027,-0.490218 -14.1377 0,0,0,-4.15062e-05,0.0637151,0.0323448,0.0956427,0.00761138,0.103657,0.0368688,0.21894,0,0.499736,4.81827,2.77571
5,0.15,0.09,96.0279,-0.48988 -14.1379 0,0,0,0.000113441,0.0684138,0.035269,0.103272,0.0166238,0.11978,0.0527689,0.24645,0,0.774934,4.79489,3.18964
6,0.18,0.12,80.0256,-0.489318 -14.138 0,0,0,0.000339579,0.0695249,0.0355052,0.103749,0.0184855,0.122067,0.0552823,0.251298,0,0.815919,4.78804,3.24103
7,0.21,0.15,68.5944,-0.48861 -14.1383 0,0,0,0.000601016,0.073541,0.0355447,0.10382,0.018869,0.122512,0.0557787,0.252295,0,0.823853,4.78666,3.25094
8,0.24,0.18,60.0219,-0.487901 -14.1386 0,0,0,0.000931198,0.0801075,0.0355818,0.103883,0.0192562,0.122953,0.0562729,0.253307,0,0.831693,4.7853,3.26075
9,0.27,0.21,53.3547,-0.48719 -14.1394 0,0,0,0.00128233,0.0892721,0.0356165,0.103938,0.0196469,0.12339,0.056765,0.254334,0,0.839439,4.78394,3.27044
10,0.3,0.24,48.0218,-0.486438 -14.1405 0,0,0,0.00166105,0.100122,0.0356487,0.103985,0.0200411,0.123823,0.057255,0.255379,0,0.847087,4.78261,3.28004
11,0.33,0.27,43.6596,-0.485654 -14.1422 0,0,0,0.0020337,0.111734,0.0356786,0.104024,0.0204389,0.124252,0.0577429,0.256443,0,0.854637,4.78129,3.28952
12,0.36,0.3,40.0257,-0.484911 -14.1445 0,0,0,0.00241052,0.12371,0.0357062,0.104056,0.02084,0.124678,0.0582287,0.257526,0,0.862086,4.78,3.29891
13,0.39,0.33,36.9521,-0.484248 -14.1472 0,0,0,0.00279503,0.135758,0.0357315,0.10408,0.0212446,0.125099,0.0587124,0.258631,0,0.869433,4.77875,3.3082
14,0.42,0.36,34.3187,-0.483663 -14.1505 0,0,0,0.00318232,0.14773,0.0357545,0.104097,0.0216525,0.125517,0.059194,0.25976,0,0.876674,4.77753,3.31739
15,0.45,0.39,32.0374,-0.483132 -14.1542 0,0,0,0.00356691,0.159546,0.0357753,0.104106,0.0220637,0.125931,0.0596736,0.260913,0,0.883809,4.77636,3.32648
16,0.48,0.42,30.0422,-0.482633 -14.1585 0,0,0,0.00394971,0.171101,0.0357939,0.104109,0.0224781,0.126342,0.0601511,0.262092,0,0.890836,4.77524,3.33547
17,0.51,0.45,28.2827,-0.482145 -14.1633 0,0,0,0.0043284,0.18242,0.0358104,0.104104,0.0228957,0.126749,0.0606265,0.2633,0,0.897751,4.77417,3.34436
18,0.54,0.48,26.7196,-0.481655 -14.1685 0,0,0,0.00470176,0.193262,0.0358248,0.104092,0.0233165,0.127153,0.0610999,0.264537,0,0.904555,4.77317,3.35316
19,0.57,0.51,25.322,-0.481153 -14.1744 0,0,0,0.00506874,0.203574,0.0358372,0.104073,0.0237403,0.127553,0.0615712,0.265806,0,0.911244,4.77224,3.36186
20,0.6,0.54,24.065,-0.480621 -14.1807 0,0,0,0.005429,0.213361,0.0358475,0.104048,0.0241672,0.12795,0.0620406,0.267108,0,0.917816,4.77139,3.37045
21,0.63,0.57,22.9286,-0.480059 -14.1875 0,0,0,0.00578368,0.222833,0.0358559,0.104015,0.024597,0.128344,0.0625078,0.268444,0,0.92427,4.77062,3.37895
22,0.66,0.6,21.8963,-0.479454 -14.1947 0,0,0,0.00613682,0.23136,0.0358623,0.103976,0.0250298,0.128734,0.0629731,0.269816,0,0.930604,4.76995,3.38735
23,0.69,0.63,20.9543,-0.47881 -14.2024 0,0,0,0.00648138,0.238659,0.0358669,0.103931,0.0254654,0.129122,0.0634364,0.271227,0,0.936815,4.76939,3.39565
24,0.72,0.66,20.0916,-0.478117 -14.2105 0,0,0,0.0068198,0.245199,0.0358696,0.103879,0.0259038,0.129507,0.0638976,0.272677,0,0.942902,4.76895,3.40385
25,0.75,0.69,19.2984,-0.477387 -14.2189 0,0,0,0.00715844,0.251344,0.0358706,0.103821,0.0263449,0.129888,0.0643568,0.274169,0,0.948863,4.76863,3.41195
26,0.78,0.72,18.5667,-0.476593 -14.2275 0,0,0,0.0074919,0.25659,0.0358698,0.103756,0.0267887,0.130268,0.064814,0.275705,0,0.954695,4.76846,3.41995
