Steps,User Time,Real Time,Growth Rate,QC position,Average Pressure,Average Sigma,Average Cell Growth,Average Vertex Velocity,Average Auxin Cytoplasm,Std Auxin Cytoplasm,Average Auxin Intercellular,Average PIN Cytoplasm,Average PIN Membrane,Average AUX1 Cytoplasm,Average Auxin Diffusion,Average Auxin Export,Average PIN1 Expression,Average PIN1 Trafficking
1,0.03,0.03,480.031,-0.490418 -14.1365 0,0,0,0.000706492,0.0111694,0,0,0,0,0,0,0,-0,0,0
2,0.06,0.03,240.035,-0.490756 -14.1361 0,0,0,0.00123899,0.016508,0,0,0,0,0,0,0,-0,0,0
3,0.09,0.06,160.036,-0.491139 -14.1357 0,0,0,0.00183936,0.0233364,0,0,0,0,0,0,0,-0,0,0
4,0.12,0.09,120.037,-0.491584 -14.1355 0,0,0,0.00246743,0.0308594,0,0,0,0,0,0,0,-0,0,0
5,0.15,0.12,96.0363,-0.492045 -14.1354 0,0,0,0.00315402,0.0399296,0,0,0,0,0,0,0,-0,0,0
6,0.18,0.15,80.0357,-0.492529 -14.1355 0,0,0,0.00387775,0.0510564,0,0,0,0,0,0,0,-0,0,0
7,0.21,0.18,68.6064,-0.493016 -14.1357 0,0,0,0.00464308,0.0644037,0,0,0,0,0,0,0,-0,0,0
8,0.24,0.21,60.0342,-0.493517 -14.1362 0,0,0,0.00544436,0.0796319,0,0,0,0,0,0,0,-0,0,0
9,0.27,0.24,53.3669,-0.494031 -14.1369 0,0,0,0.00627557,0.0966772,0,0,0,0,0,0,0,-0,0,0
10,0.3,0.27,48.0332,-0.494558 -14.1378 0,0,0,0.0071302,0.115153,0,0,0,0,0,0,0,-0,0,0
11,0.33,0.3,43.6696,-0.495089 -14.1391 0,0,0,0.00801484,0.134956,0,0,0,0,0,0,0,-0,0,0
12,0.36,0.33,40.0337,-0.495623 -14.1408 0,0,0,0.0089215,0.155865,0,0,0,0,0,0,0,-0,0,0
13,0.39,0.36,36.958,-0.496151 -14.1429 0,0,0,0.00984778,0.177743,0,0,0,0,0,0,0,-0,0,0
14,0.42,0.39,34.3227,-0.496665 -14.1456 0,0,0,0.0108008,0.200437,0,0,0,0,0,0,0,-0,0,0
15,0.45,0.42,32.0399,-0.497155 -14.149 0,0,0,0.0117673,0.223909,0,0,0,0,0,0,0,-0,0,0
16,0.48,0.45,30.0437,-0.497614 -14.153 0,0,0,0.0127554,0.248034,0,0,0,0,0,0,0,-0,0,0
17,0.51,0.48,28.2838,-0.498038 -14.1579 0,0,0,0.0137569,0.272713,0,0,0,0,0,0,0,-0,0,0
18,0.54,0.51,26.7209,-0.498441 -14.1637 0,0,0,0.0147716,0.297927,0,0,0,0,0,0,0,-0,0,0
19,0.57,0.54,25.3242,-0.498831 -14.1704 0,0,0,0.0157966,0.323632,0,0,0,0,0,0,0,-0,0,0
20,0.6,0.57,24.0688,-0.499208 -14.1783 0,0,0,0.0168304,0.34977,0,0,0,0,0,0,0,-0,0,0
21,0.63,0.6,22.9346,-0.499578 -14.1873 0,0,0,0.0178681,0.37663,0,0,0,0,0,0,0,-0,0,0
22,0.66,0.63,21.9053,-0.499945 -14.1975 0,0,0,0.018912,0.403765,0,0,0,0,0,0,0,-0,0,0
23,0.69,0.66,20.9674,-0.500322 -14.2091 0,0,0,0.0199587,0.431228,0,0,0,0,0,0,0,-0,0,0
24,0.72,0.69,20.1095,-0.500695 -14.222 0,0,0,0.021007,0.458972,0,0,0,0,0,0,0,-0,0,0
25,0.75,0.72,19.3221,-0.501068 -14.2365 0,0,0,0.0220546,0.486971,0,0,0,0,0,0,0,-0,0,0
26,0.78,0.75,18.5973,-0.501454 -14.2526 0,0,0,0.0230998,0.515155,0,0,0,0,0,0,0,-0,0,0
27,0.81,0.78,17.9281,-0.501856 -14.2703 0,0,0,0.0241414,0.543487,0,0,0,0,0,0,0,-0,0,0
28,0.84,0.81,17.3087,-0.502288 -14.2898 0,0,0,0.025178,0.571981,0,0,0,0,0,0,0,-0,0,0
29,0.87,0.84,16.7339,-0.502743 -14.311 0,0,0,0.026209,0.600661,0,0,0,0,0,0,0,-0,0,0
30,0.9,0.87,16.1995,-0.503228 -14.334 0,0,0,0.0272321,0.629519,0,0,0,0,0,0,0,-0,0,0
