NOReflux NOQC,NOReflux QC,Reflux NOQC,Reflux QC
0.224918,0.350059,0.848877,0.67949
0.222098,0.348563,0.845679,0.675024
0.219285,0.347051,0.842806,0.670593
0.216817,0.345483,0.838983,0.666225
0.214075,0.343917,0.835134,0.661976
0.211272,0.342443,0.831415,0.657882
0.208517,0.341011,0.827727,0.653942
0.20586,0.339612,0.824039,0.650148
0.203299,0.338247,0.820392,0.646484
0.20083,0.336909,0.816762,0.642937
0.198431,0.335594,0.813128,0.642246
0.196079,0.334303,0.809478,0.641568
0.193146,0.333032,0.807541,0.640897
0.190834,0.331772,0.803302,0.640234
0.188533,0.330515,0.798731,0.636891
0.186231,0.329256,0.79417,0.636232
0.183924,0.327991,0.789747,0.634051
0.18161,0.32672,0.785417,0.630837
0.179294,0.326396,0.781193,0.627959
0.176981,0.32614,0.777072,0.627318
0.174679,0.325884,0.773049,0.626682
0.172399,0.32563,0.769113,0.62416
0.170148,0.325376,0.76525,0.622399
0.167422,0.325123,0.761455,0.620939
0.165251,0.324872,0.756937,0.618111
0.163099,0.324622,0.753241,0.615251
0.160987,0.324376,0.74954,0.612432
0.158972,0.324131,0.752732,0.609651
0.157354,0.323888,0.748646,0.606972
0.155989,0.323648,0.744297,0.604396
0.154667,0.32341,0.739217,0.601915
0.153343,0.323175,0.734578,0.599518
0.152006,0.322942,0.730317,0.597209
0.150652,0.322712,0.72638,0.594982
0.149285,0.322485,0.722655,0.59279
0.147914,0.322261,0.719105,0.590597
0.146553,0.322039,0.715695,0.58842
0.145222,0.32182,0.71237,0.586251
0.143938,0.320814,0.70909,0.584075
0.142723,0.320601,0.705825,0.582183
0.141584,0.319334,0.702562,0.580234
0.140518,0.318041,0.699311,0.577871
0.139514,0.317757,0.696081,0.575531
0.138674,0.317545,0.692882,0.573282
0.137546,0.317333,0.689725,0.570498
0.136419,0.317123,0.686614,0.56837
0.13535,0.316917,0.683536,0.565222
0.134342,0.316714,0.680119,0.56296
0.13338,0.315406,0.67544,0.558998
0.132454,0.315261,0.67242,0.556766
0.131544,0.31507,0.669414,0.554546
0.130578,0.314873,0.666529,0.557666
0.129675,0.314663,0.663681,0.555054
0.128849,0.314452,0.66083,0.551957
0.128106,0.313283,0.657978,0.548772
0.127425,0.313086,0.655143,0.545221
0.126763,0.31289,0.652349,0.542043
0.126066,0.312694,0.649612,0.538857
0.125276,0.312502,0.646943,0.535821
0.124359,0.312313,0.644335,0.533326
0.123334,0.312126,0.641784,0.530992
0.122226,0.310869,0.639277,0.528846
0.121054,0.310688,0.636804,0.526878
0.119841,0.310509,0.634357,0.525066
0.118611,0.310325,0.631929,0.523317
0.117385,0.310141,0.635397,0.521578
0.116187,0.309956,0.631345,0.519823
0.115015,0.309772,0.627715,0.518051
0.113877,0.309587,0.624453,0.51628
0.112801,0.309403,0.621459,0.514521
0.11177,0.30922,0.618549,0.51278
0.110776,0.309037,0.61574,0.510718
0.109817,0.308855,0.613022,0.509041
0.108893,0.308673,0.610401,0.507362
0.108008,0.308491,0.611232,0.50576
0.107163,0.308309,0.608271,0.50421
0.106356,0.308127,0.604873,0.502707
0.105586,0.307945,0.6016,0.501216
0.104851,0.307763,0.598482,0.49973
0.104151,0.30758,0.595505,0.498246
0.103481,0.307398,0.592083,0.496772
0.102844,0.307217,0.588899,0.495312
0.102219,0.307036,0.585806,0.493861
0.101634,0.306856,0.582872,0.492416
0.101084,0.306676,0.579484,0.490974
0.10058,0.306497,0.577667,0.489523
0.100113,0.30632,0.573981,0.488058
0.0996823,0.306141,0.570669,0.486576
0.0992752,0.305964,0.567319,0.485077
0.0988821,0.305789,0.564406,0.483562
0.0984884,0.305615,0.561889,0.482028
0.0980742,0.305442,0.559617,0.480486
0.0976282,0.305271,0.557556,0.478934
0.0971491,0.305101,0.555607,0.477375
0.0966373,0.304932,0.561751,0.47654
0.0960979,0.304764,0.558425,0.476145
0.0955446,0.304596,0.555129,0.475753
0.0949856,0.304428,0.552062,0.475365
0.0944253,0.304261,0.549334,0.474978
0.0938653,0.304095,0.546815,0.474594
0.0933059,0.304626,0.544459,0.474212
0.0927484,0.303536,0.542228,0.473831
0.0921987,0.302389,0.540083,0.473451
0.0916622,0.301242,0.537991,0.473074
0.0911453,0.3001,0.535931,0.472696
0.0904244,0.298985,0.533874,0.47232
0.0899865,0.297894,0.531783,0.471945
0.0895565,0.296864,0.529682,0.47157
0.0891629,0.295884,0.527561,0.471196
0.0888032,0.293938,0.525414,0.470822
0.0884769,0.293855,0.523279,0.470347
0.0881818,0.293728,0.520834,0.468876
0.0879168,0.293597,0.518374,0.467343
0.0876581,0.293457,0.515892,0.465817
0.0874238,0.293318,0.513377,0.464309
0.0873008,0.293179,0.510855,0.462817
0.087278,0.293043,0.508342,0.461607
0.0873018,0.292909,0.505822,0.461205
0.087349,0.292778,0.503286,0.460812
0.0874051,0.292649,0.500716,0.46043
0.0874683,0.292521,0.498117,0.460059
0.0875363,0.292396,0.495494,0.459699
0.0876085,0.292272,0.492841,0.45935
0.087674,0.292148,0.49016,0.459009
0.0877206,0.292026,0.487454,0.460029
0.0877425,0.291904,0.484724,0.458487
0.0877392,0.291783,0.481976,0.456775
0.0877104,0.291662,0.479086,0.458936
0.087656,0.29154,0.476081,0.457178
0.087577,0.291419,0.473069,0.455118
0.0874745,0.291296,0.470118,0.453228
0.0873495,0.291173,0.467235,0.451218
0.0872048,0.291049,0.464401,0.464664
0.0871471,0.290925,0.461629,0.459364
0.086968,0.2908,0.458917,0.454931
0.086768,0.290674,0.456247,0.451408
0.0865578,0.289622,0.453673,0.448313
0.086348,0.289587,0.451263,0.4452
0.0861354,0.289463,0.44896,0.458516
0.0859193,0.28934,0.446718,0.453928
0.0857022,0.289208,0.444518,0.449723
0.085478,0.289073,0.442357,0.445902
0.0852384,0.288931,0.440234,0.442366
0.0849806,0.288785,0.437943,0.437848
0.0846939,0.288637,0.435935,0.434983
0.0843746,0.28849,0.433047,0.43239
0.0840223,0.288342,0.430672,0.430052
0.0836365,0.288197,0.428322,0.427935
0.0832196,0.288054,0.426368,0.42601
0.0827764,0.287912,0.424711,0.424243
0.0823123,0.287772,0.423343,0.422605
0.0818311,0.287635,0.42218,0.421092
0.0813355,0.287499,0.421126,0.41969
0.080828,0.287364,0.420093,0.418382
0.0803102,0.287228,0.419987,0.417244
0.0797848,0.287093,0.418836,0.416308
0.0797594,0.286957,0.417725,0.415507
0.0791675,0.28682,0.417278,0.414657
0.0785223,0.286681,0.415823,0.413857
0.0778752,0.286542,0.414279,0.413001
0.0772471,0.286402,0.41273,0.412241
0.0766397,0.286261,0.411185,0.41152
0.0760506,0.286118,0.409644,0.410852
0.0753701,0.285976,0.408138,0.410592
0.0748266,0.285832,0.406658,0.409851
0.0742829,0.285688,0.405203,0.407858
0.0737449,0.285543,0.40378,0.407006
0.0732113,0.285399,0.402382,0.406178
0.0738608,0.285255,0.401008,0.405384
0.073803,0.285112,0.399649,0.404621
0.0731997,0.28497,0.398301,0.403909
0.0725717,0.284829,0.396963,0.403232
0.0719827,0.284689,0.395636,0.402573
0.0717785,0.28455,0.39432,0.401908
0.0717313,0.284412,0.393017,0.401234
0.0716849,0.284275,0.391726,0.400553
0.0716387,0.284139,0.389643,0.399859
0.0715927,0.284004,0.388271,0.408176
0.0715467,0.28387,0.386958,0.407294
0.0715008,0.283736,0.385404,0.406181
0.0714551,0.283603,0.383889,0.405047
0.0714095,0.283472,0.382377,0.403953
0.0713641,0.287406,0.380949,0.402887
0.0713187,0.286166,0.379615,0.401947
0.0712737,0.28459,0.378362,0.401163
0.0712289,0.283235,0.37718,0.400495
0.0711845,0.282142,0.376267,0.399918
0.0711402,0.281189,0.375963,0.39931
0.0710964,0.279923,0.374883,0.398788
0.071053,0.279114,0.37381,0.398247
0.0710101,0.278326,0.372779,0.397729
0.0709677,0.277606,0.371783,0.399263
0.0709256,0.282298,0.370807,0.398839
0.0708839,0.28119,0.370385,0.399369
0.0708425,0.279972,0.370104,0.398818
0.0708014,0.279012,0.369166,0.398273
0.0707607,0.278223,0.368246,0.397808
0.0707201,0.277545,0.367261,0.397425
0.0706798,0.277006,0.366739,0.397149
0.0706397,0.276595,0.366453,0.396999
0.0705998,0.276281,0.366155,0.396953
0.0705601,0.276031,0.365853,0.396971
0.0705205,0.27582,0.365553,0.397015
0.0704811,0.275629,0.365259,0.397062
0.0704418,0.275458,0.364973,0.3971
0.0704027,0.275424,0.364156,0.39712
0.0703636,0.275462,0.363885,0.397113
0.0703247,0.275497,0.363615,0.39709
0.0702859,0.275496,0.36253,0.397054
0.0702472,0.275442,0.362247,0.397014
0.0702083,0.275325,0.361964,0.396978
0.0701696,0.275138,0.361678,0.396946
0.0701311,0.275593,0.361388,0.396927
0.0700928,0.275155,0.361095,0.396953
0.0700546,0.27464,0.3608,0.39702
0.0700165,0.274067,0.360506,0.397107
0.0699784,0.273541,0.360211,0.397201
0.0699404,0.273038,0.359918,0.3973
0.0699025,0.272563,0.359627,0.397395
0.0698647,0.272126,0.359338,0.397478
0.069827,0.271726,0.359051,0.397544
0.0697894,0.27136,0.358766,0.397002
0.069752,0.271024,0.358483,0.397022
0.0697146,0.270713,0.358202,0.396917
0.0696773,0.270424,0.357922,0.396786
0.0696402,0.270152,0.357644,0.396611
0.0696032,0.270004,0.357367,0.396402
0.0695664,0.269858,0.3564,0.396869
0.0695296,0.269715,0.35613,0.396358
0.0694928,0.269572,0.354917,0.395511
0.0694561,0.269431,0.353693,0.394642
0.0694195,0.269291,0.352482,0.393886
0.0693831,0.269151,0.351276,0.393219
0.0693468,0.269013,0.350051,0.392568
0.0693107,0.268875,0.348808,0.391908
0.0692748,0.268738,0.347602,0.391229
0.069239,0.273829,0.34722,0.390541
0.0692034,0.275013,0.346789,0.38984
0.0691679,0.274786,0.346546,0.389128
0.0691327,0.274448,0.345467,0.388414
0.0690977,0.274162,0.34427,0.387693
0.0690628,0.273897,0.343078,0.386965
0.069028,0.273701,0.341918,0.386225
0.0689934,0.273636,0.341378,0.385472
0.0689589,0.273687,0.341044,0.384701
0.0689245,0.273822,0.340409,0.382916
0.0688904,0.274001,0.340125,0.382095
0.0688564,0.27421,0.338276,0.381289
0.0688226,0.274459,0.336995,0.380467
0.068789,0.274775,0.335773,0.379638
0.0690747,0.275105,0.334616,0.378808
0.069046,0.275424,0.333072,0.377989
0.0690128,0.275713,0.33282,0.377234
0.068981,0.275963,0.332802,0.376621
0.0689504,0.276169,0.331898,0.376218
0.06892,0.276333,0.33099,0.375931
0.0688897,0.276455,0.328919,0.375693
0.0691656,0.276538,0.327063,0.375453
0.0687967,0.276587,0.325312,0.375192
0.0684339,0.276613,0.323607,0.374907
0.0681245,0.276622,0.321997,0.374595
0.0680927,0.276621,0.320548,0.374256
0.0680604,0.276613,0.319225,0.37389
0.0680289,0.2766,0.31833,0.373496
0.0679976,0.276584,0.318084,0.373076
0.0679668,0.276567,0.317558,0.372635
0.0679362,0.276547,0.316243,0.372551
0.067906,0.276523,0.314974,0.371927
0.067876,0.276495,0.313819,0.371202
0.0678462,0.276464,0.31278,0.370474
0.0678165,0.276431,0.311522,0.369749
0.0677869,0.276391,0.310373,0.369002
0.0677574,0.276346,0.309342,0.368211
0.0677279,0.276293,0.308359,0.367367
0.0676984,0.27623,0.306772,0.366466
0.067669,0.276154,0.305246,0.365548
0.0676395,0.276064,0.304275,0.364641
0.06761,0.275961,0.303297,0.363751
0.0675805,0.275845,0.302315,0.362877
0.0675511,0.275719,0.301323,0.362011
0.0675217,0.275621,0.300386,0.361153
0.0674923,0.27554,0.299299,0.360365
0.0674629,0.275462,0.298167,0.359569
0.0674336,0.275387,0.297072,0.358753
0.0674044,0.275314,0.296156,0.357887
0.0673752,0.275243,0.294466,0.357017
0.0673461,0.275171,0.293128,0.35614
0.067317,0.275099,0.292106,0.355306
0.0672879,0.275027,0.290748,0.354517
0.0672589,0.274953,0.289632,0.353768
0.06723,0.274878,0.288561,0.353053
0.0672011,0.274803,0.287499,0.352375
0.0671723,0.274727,0.28643,0.351724
0.0671435,0.274651,0.285349,0.351096
0.0671149,0.274575,0.284777,0.350482
0.0670862,0.274498,0.284517,0.350061
0.0670577,0.274422,0.284264,0.349783
0.0670292,0.274346,0.284017,0.349505
0.0670008,0.27427,0.283773,0.34924
0.0669724,0.274194,0.283084,0.348989
0.0669441,0.273373,0.282853,0.348737
0.0669158,0.27329,0.282617,0.348487
0.0668876,0.273216,0.282374,0.34825
0.0668593,0.273135,0.28213,0.348
0.0668312,0.273056,0.282381,0.34776
0.0664747,0.272979,0.280863,0.346952
0.0661191,0.272904,0.279347,0.346156
0.0657632,0.272768,0.277905,0.345408
0.0654052,0.272611,0.276587,0.34409
0.0653307,0.272534,0.275348,0.343393
0.0653017,0.272459,0.274169,0.3421
0.065273,0.272383,0.273029,0.341379
0.0652446,0.272309,0.272751,0.340617
0.0652166,0.272237,0.272505,0.33988
0.0651888,0.272166,0.272263,0.339172
0.0651613,0.272097,0.272023,0.338492
0.065134,0.272029,0.271784,0.337575
0.0651068,0.271961,0.271548,0.336914
0.065113,0.271895,0.271312,0.336235
0.0650877,0.271829,0.271078,0.335585
0.0650614,0.271763,0.270845,0.334981
0.0650326,0.271699,0.270613,0.334398
0.065004,0.271636,0.269547,0.333833
0.0649753,0.271573,0.268501,0.333288
0.064947,0.27151,0.267482,0.33311
0.0649187,0.271448,0.266493,0.332934
0.0648907,0.271385,0.265527,0.33276
0.0648627,0.271322,0.265178,0.332587
0.0648351,0.271259,0.264955,0.332414
0.0648078,0.271197,0.264733,0.331541
0.0647808,0.271134,0.264062,0.33137
0.0647543,0.271072,0.263836,0.331201
0.0647281,0.27101,0.263405,0.331026
0.0647022,0.270949,0.263178,0.330851
