Steps,User Time,Real Time,Growth Rate,QC position,Average Pressure,Average Sigma,Average Cell Growth,Average Vertex Velocity,Average Auxin Cytoplasm,Std Auxin Cytoplasm,Average Auxin Intercellular,Average PIN Cytoplasm,Average PIN Membrane,Average AUX1 Cytoplasm,Average Auxin Diffusion,Average Auxin Export,Average PIN1 Expression,Average PIN1 Trafficking
1,0.03,0,1.87182,-3.08416 -105.518 0,0,0,0,0,1.78565,1.07117,0.275906,1.25523,0.989191,12.6775,0,2.48219,108.092,98.7545
2,0.06,0,1.87182,-3.08416 -105.518 0,0,0,0,0,1.79399,1.10198,0.262327,1.25937,0.952095,12.2335,0,-3.80346,108.124,98.046
3,0.09,0,1.87182,-3.08416 -105.518 0,0,0,0,0,1.80539,1.13914,0.240988,1.26386,0.930108,11.9027,0,-3.11822,107.717,97.3476
4,0.12,0,1.87182,-3.08416 -105.518 0,0,0,0,0,1.81387,1.17257,0.225221,1.26855,0.918613,11.653,0,-2.00948,107.321,96.9263
5,0.15,0,1.87182,-3.08416 -105.518 0,0,0,0,0,1.81956,1.19608,0.215131,1.27217,0.914245,11.4626,0,-1.15007,107.032,96.9004
6,0.18,0,1.87182,-3.08416 -105.518 0,0,0,0,0,1.823,1.2078,0.208975,1.2751,0.913532,11.3159,0,-0.754347,106.811,96.7158
7,0.21,0,1.87182,-3.08416 -105.518 0,0,0,0,0,1.82667,1.21678,0.203431,1.27804,0.913493,11.2017,0,-0.680161,106.589,96.5259
8,0.24,0,1.87182,-3.08416 -105.518 0,0,0,0,0,1.83028,1.22365,0.198983,1.28074,0.914645,11.112,0,-0.457381,106.382,96.4663
9,0.27,0,1.87182,-3.08416 -105.518 0,0,0,0,0,1.83351,1.22674,0.195267,1.28301,0.915561,11.0407,0,-0.561292,106.19,96.2928
10,0.3,0,1.87182,-3.08416 -105.518 0,0,0,0,0,1.8368,1.22854,0.191868,1.28485,0.916778,10.9835,0,-0.405029,106.012,96.1879
11,0.33,0,1.87182,-3.08416 -105.518 0,0,0,0,0,1.83996,1.22915,0.18884,1.28657,0.917686,10.9369,0,-0.385624,105.789,96.0658
12,0.36,0,1.87182,-3.08416 -105.518 0,0,0,0,0,1.84284,1.22815,0.186167,1.28767,0.91934,10.8986,0,-0.339985,105.597,95.9962
13,0.39,0,1.87182,-3.08416 -105.518 0,0,0,0,0,1.84561,1.22542,0.18355,1.28872,0.919348,10.8666,0,-0.315004,105.442,95.8947
14,0.42,0,1.87182,-3.08416 -105.518 0,0,0,0,0,1.84809,1.22205,0.181202,1.28928,0.919427,10.8399,0,-0.221389,105.387,95.8859
15,0.45,0,1.87182,-3.08416 -105.518 0,0,0,0,0,1.85038,1.21931,0.178883,1.29003,0.91941,10.8176,0,-0.204229,105.36,96.054
16,0.48,0,1.87182,-3.08416 -105.518 0,0,0,0,0,1.85208,1.21618,0.177048,1.29006,0.920486,10.7987,0,-0.184141,105.344,95.9229
17,0.51,0,1.87182,-3.08416 -105.518 0,0,0,0,0,1.85356,1.21414,0.17518,1.29029,0.921384,10.7824,0,-0.237689,105.226,95.8192
18,0.54,0,1.87182,-3.08416 -105.518 0,0,0,0,0,1.85475,1.21344,0.173369,1.29019,0.922415,10.7681,0,-0.141205,105.092,95.9231
19,0.57,0,1.87182,-3.08416 -105.518 0,0,0,0,0,1.85556,1.21338,0.171656,1.29001,0.922791,10.7556,0,-0.170723,104.946,95.8551
20,0.6,0,1.87182,-3.08416 -105.518 0,0,0,0,0,1.85591,1.21384,0.17014,1.2896,0.923488,10.7447,0,-0.183431,104.823,95.6389
21,0.63,0,1.87182,-3.08416 -105.518 0,0,0,0,0,1.85595,1.21541,0.168611,1.28914,0.92416,10.735,0,-0.136736,104.705,95.5004
22,0.66,0,1.87182,-3.08416 -105.518 0,0,0,0,0,1.85563,1.21761,0.167148,1.28866,0.924468,10.7267,0,-0.118386,104.591,95.5888
