Steps,User Time,Real Time,Growth Rate,QC position,Average Pressure,Average Sigma,Average Cell Growth,Average Vertex Velocity,Average Auxin Cytoplasm,Std Auxin Cytoplasm,Average Auxin Intercellular,Average PIN Cytoplasm,Average PIN Membrane,Average AUX1 Cytoplasm,Average Auxin Diffusion,Average Auxin Export,Average PIN1 Expression,Average PIN1 Trafficking
1,0.03,0,0.0895001,-3.08416 -105.518 0,0,0,0,0,1.77085,1.05442,0.302534,1.24195,1.04631,12.6775,0,10.0833,108.903,104.407
2,0.06,0,0.0895001,-3.08416 -105.518 0,0,0,0,0,1.76233,1.0563,0.322114,1.23191,1.04076,12.2335,0,0.245829,109.824,104.533
3,0.09,0,0.0895001,-3.08416 -105.518 0,0,0,0,0,1.7705,1.0712,0.311828,1.22317,1.03636,11.9027,0,-2.39651,110.104,104.273
4,0.12,0,0.0895001,-3.08416 -105.518 0,0,0,0,0,1.78212,1.08425,0.295909,1.21587,1.03361,11.653,0,-2.51472,110.314,104.064
5,0.15,0,0.0895001,-3.08416 -105.518 0,0,0,0,0,1.79338,1.091,0.281139,1.20972,1.03262,11.4626,0,-2.16849,110.484,103.914
6,0.18,0,0.0895001,-3.08416 -105.518 0,0,0,0,0,1.80356,1.09127,0.268683,1.20438,1.03289,11.3159,0,-1.76449,110.627,103.921
7,0.21,0,0.0895001,-3.08416 -105.518 0,0,0,0,0,1.81287,1.08638,0.258226,1.19978,1.03349,11.2018,0,-1.49344,110.751,103.753
8,0.24,0,0.0895001,-3.08416 -105.518 0,0,0,0,0,1.82182,1.07872,0.248995,1.19601,1.03409,11.1122,0,-1.30883,110.851,103.6
9,0.27,0,0.0895001,-3.08416 -105.518 0,0,0,0,0,1.83045,1.0705,0.240985,1.19287,1.03409,11.041,0,-1.11383,110.935,103.505
10,0.3,0,0.0895001,-3.08416 -105.518 0,0,0,0,0,1.83876,1.06364,0.233976,1.19032,1.03398,10.9839,0,-0.945364,111.001,103.399
11,0.33,0,0.0895001,-3.08416 -105.518 0,0,0,0,0,1.84668,1.05966,0.227966,1.18822,1.03413,10.9377,0,-0.782756,111.053,103.336
12,0.36,0,0.0895001,-3.08416 -105.518 0,0,0,0,0,1.85435,1.06029,0.222693,1.18649,1.03407,10.8997,0,-0.67429,111.094,103.274
13,0.39,0,0.0895001,-3.08416 -105.518 0,0,0,0,0,1.8618,1.06596,0.218056,1.18508,1.03333,10.8684,0,-0.566754,111.125,103.219
14,0.42,0,0.0895001,-3.08416 -105.518 0,0,0,0,0,1.86885,1.07577,0.214067,1.18397,1.03248,10.8421,0,-0.497596,111.149,103.07
15,0.45,0,0.0895001,-3.08416 -105.518 0,0,0,0,0,1.87557,1.08853,0.210514,1.18321,1.03146,10.82,0,-0.399548,111.166,103.062
16,0.48,0,0.0895001,-3.08416 -105.518 0,0,0,0,0,1.88195,1.10301,0.207447,1.18252,1.03085,10.8011,0,-0.327919,111.18,103.064
17,0.51,0,0.0895001,-3.08416 -105.518 0,0,0,0,0,1.88826,1.11867,0.204816,1.18192,1.0308,10.785,0,-0.273245,111.193,103.038
18,0.54,0,0.0895001,-3.08416 -105.518 0,0,0,0,0,1.89458,1.13486,0.202362,1.18148,1.03038,10.7712,0,-0.243691,111.201,102.996
19,0.57,0,0.0895001,-3.08416 -105.518 0,0,0,0,0,1.90063,1.15107,0.200126,1.18119,1.03,10.7592,0,-0.205768,111.204,102.964
20,0.6,0,0.0895001,-3.08416 -105.518 0,0,0,0,0,1.9062,1.16673,0.19811,1.181,1.02975,10.749,0,-0.183099,111.203,102.93
21,0.63,0,0.0895001,-3.08416 -105.518 0,0,0,0,0,1.91134,1.18145,0.196116,1.18092,1.0292,10.7402,0,-0.219707,111.2,102.902
22,0.66,0,0.0895001,-3.08416 -105.518 0,0,0,0,0,1.91587,1.19417,0.194157,1.18088,1.02891,10.7327,0,-0.141131,111.195,102.887
23,0.69,0,0.0895001,-3.08416 -105.518 0,0,0,0,0,1.91994,1.20504,0.19232,1.18104,1.0289,10.7265,0,-0.168951,111.193,102.763
24,0.72,0,0.0895001,-3.08416 -105.518 0,0,0,0,0,1.92369,1.21389,0.190558,1.18127,1.02989,10.7214,0,-0.15594,111.192,102.77
25,0.75,0,0.0895001,-3.08416 -105.518 0,0,0,0,0,1.92714,1.22094,0.188904,1.18149,1.03101,10.7174,0,-0.133719,111.19,102.769
26,0.78,0,0.0895001,-3.08416 -105.518 0,0,0,0,0,1.93034,1.22659,0.187389,1.18172,1.03201,10.7145,0,-0.112461,111.188,102.763
